InventoryId,Store,Brand,Description,Size,VendorNumber,VendorName,PONumber,PODate,ReceivingDate,InvoiceDate,PayDate,PurchasePrice,Quantity,Dollars,Classification
78_EASTHAVEN_2628,78,2628,Dewars Special RSV 12-Yr,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,23.43,12,281.16,1
30_CULCHETH_4196,30,4196,Bacardi Dragon Berry Rum,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,7.46,12,89.52,1
67_EANVERNESS_3961,67,3961,Grey Goose La Poire Vodka,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,18.17,6,109.02,1
22_SHARNWICK_3139,22,3139,Grey Goose Le Melon,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,17.64,12,211.68,1
78_EASTHAVEN_3016,78,3016,Bombay Sapphire East Gin,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,14.59,35,510.65,1
69_MOUNTMEND_7221,69,7221,M & R Sweet Vermouth,1.5L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,6.86,4,27.44,2
5_SUTTON_4227,5,4227,Bacardi Superior Rum Trav,1.75L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,14.17,6,85.02,1
5_SUTTON_4267,5,4267,Bacardi Limon Rum,1.75L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,15.62,6,93.72,1
50_MOUNTMEND_3436,50,3436,Bombay Dry Gin,1.75L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,18.79,6,112.74,1
5_SUTTON_3344,5,3344,Bombay Sapphire Gin,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,14.49,12,173.88,1
15_WANBORNE_2663,15,2663,Dewars White Label,1.75L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,21.42,12,257.04,1
38_GOULCREST_3858,38,3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,17.77,247,4389.19,1
34_PITMERDEN_3461,34,3461,Corzo Silver Tequila,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-03 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,39.99,1,39.99,1
67_EANVERNESS_4221,67,4221,Bacardi Gold Rum Traveler,1.75L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,12.94,84,1086.96,1
76_DONCASTER_4245,76,4245,Bacardi Superior Rum,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,7.93,9,71.37,1
30_CULCHETH_3847,30,3847,Grey Goose Vodka,50mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,2.81,12,33.72,1
76_DONCASTER_7985,76,7985,Noilly Prat Extra Dry Vermou,Liter,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,7.46,10,74.6,1
76_DONCASTER_4223,76,4223,Bacardi Gold Rum,1.75L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,14.92,6,89.52,1
18_FURNESS_2672,18,2672,Dewars White Label,50mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,1.8,12,21.6,1
1_HARDERSFIELD_4670,1,4670,Bacardi Dragon Berry Rum,375mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,2.87,11,31.57,1
30_CULCHETH_3851,30,3851,Grey Goose Vodka,375mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,12.02,12,144.24,1
1_HARDERSFIELD_4226,1,4226,Bacardi Superior Rum Trav,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,7.68,21,161.28,1
38_GOULCREST_3857,38,3857,Grey Goose Vodka,1.75L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,38.27,14,535.78,1
54_GUTHRAM_4229,54,4229,Bacardi Black,1.75L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,14.7,6,88.2,1
5_SUTTON_5194,5,5194,Bacardi Party Mai Tai,1.75L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,9.62,6,57.72,1
38_GOULCREST_1330,38,1330,Grey Goose Glass Pack,1.75L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,38.27,1,38.27,1
67_EANVERNESS_5230,67,5230,Bacardi Party Drinks Bahama,1.75L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,9.92,5,49.6,1
7_STANMORE_3194,7,3194,Grey Goose Cherry Noir Vodka,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,18.31,24,439.44,1
30_CULCHETH_3345,30,3345,Bombay Sapphire Gin,50mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,1.54,117,180.18,1
23_ARBINGTON_4066,23,4066,Bacardi Oakheart Spiced Rum,1.75L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,12.85,4,51.4,1
54_GUTHRAM_126,54,126,Grey Goose Vodka,Liter,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,20.14,16,322.24,1
23_ARBINGTON_4243,23,4243,Bacardi Superior Rum,1.75L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,14.49,10,144.9,1
15_WANBORNE_4050,15,4050,Bacardi Oakheart Spiced Rum,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,8.72,12,104.64,1
69_MOUNTMEND_6638,69,6638,M & R Asti,1.5L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,16.23,6,97.38,2
54_GUTHRAM_8653,54,8653,M & R Extra Dry Vermouth,375mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,3.53,24,84.72,2
47_PELLA'S WISH_4232,47,4232,Castillo Silver Label Rum,Liter,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,6.48,10,64.8,1
50_MOUNTMEND_903,50,903,Bombay Sapphire Gin,Liter,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,18.79,12,225.48,1
30_CULCHETH_4025,30,4025,Bacardi Oakheart Spiced Rum,50mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,1.37,10,13.7,1
16_LUNDY_4404,16,4404,Bacardi Gold Rum,375mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-03 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,4.32,24,103.68,1
15_WANBORNE_7977,15,7977,M & R X Dry Vermouth,1.5L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,7.49,6,44.94,1
38_GOULCREST_8368,38,8368,Bacardi Superior Rum,100mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,1.51,47,70.97,1
50_MOUNTMEND_810,50,810,Bacardi Black Razz,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,7.19,11,79.09,1
34_PITMERDEN_508,34,508,Bacardi Superior Rum,Liter,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,9.77,9,87.93,1
1_HARDERSFIELD_3343,1,3343,Bombay Sapphire Gin,375mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,9.46,12,113.52,1
1_HARDERSFIELD_8617,1,8617,Bacardi Black,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,7.19,12,86.28,1
1_HARDERSFIELD_443,1,443,St Germain Liqueur,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,24.45,6,146.7,1
76_DONCASTER_7978,76,7978,M & R X Dry Vermouth,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,3.95,10,39.5,1
34_PITMERDEN_4320,34,4320,D'Usse VSOP Cognac,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,36.02,1,36.02,1
15_WANBORNE_4290,15,4290,Bacardi Tangerine Rum,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,7.87,12,94.44,1
47_PELLA'S WISH_4222,47,4222,Bacardi Gold Rum,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,7.99,12,95.88,1
69_MOUNTMEND_40114,69,40114,M & R Prosecco Frizzante,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,6.66,6,39.96,2
1_HARDERSFIELD_802,1,802,Bacardi Torched Cherry Rum,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,7.99,12,95.88,1
22_SHARNWICK_824,22,824,Dewars White Label Scotch,Liter,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,20.76,12,249.12,1
76_DONCASTER_8154,76,8154,Cazadores Reposado Tequila,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,16.05,10,160.5,1
38_GOULCREST_5315,38,5315,B & B Liqueur Dom,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,19.22,12,230.64,1
54_GUTHRAM_5317,54,5317,B & B Liqueur Dom,50mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,2.46,36,88.56,1
34_PITMERDEN_2665,34,2665,Dewars White Label,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,15.38,8,123.04,1
67_EANVERNESS_7345,67,7345,M & R Asti,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,6.75,55,371.25,2
69_MOUNTMEND_8534,69,8534,M & R Asti,375mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,4.02,12,48.24,2
34_PITMERDEN_4881,34,4881,Bacardi Twin Pack 2/750mls,750mL 2 Pk,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,14.81,58,858.98,1
78_EASTHAVEN_4234,78,4234,Bacardi Pineapple Fusion,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,7.99,12,95.88,1
16_LUNDY_4247,16,4247,Bacardi Limon Rum,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-03 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,7.99,12,95.88,1
76_DONCASTER_7982,76,7982,M & R Sweet Vermouth,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,3.95,8,31.6,1
52_GRAYCOTT_8130,52,8130,Bacardi Superior Rum,50mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,0.93,10,9.3,1
1_HARDERSFIELD_8654,1,8654,M & R Sweet Vermouth,375mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,3.55,24,85.2,2
30_CULCHETH_4258,30,4258,Bacardi Mango Fusion,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,7.35,12,88.2,1
50_MOUNTMEND_4179,50,4179,Bacardi Dragon Berry Rum,1.75L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,15.14,4,60.56,1
38_GOULCREST_3778,38,3778,Grey Goose Le Citron Vodka,1.75L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,34.3,1,34.3,1
38_GOULCREST_7990,38,7990,Noilly Prat Sweet Vermouth,Liter,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,7.68,12,92.16,1
50_MOUNTMEND_5560,50,5560,Bacardi Mojito Cocktail,1.75L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,12.79,6,76.74,1
54_GUTHRAM_2624,54,2624,Dewars 18 Yr Old Founders Rv,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,46.76,3,140.28,1
50_MOUNTMEND_5318,50,5318,Benedictine Liqueur Dom,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,18.65,12,223.8,1
1_HARDERSFIELD_4246,1,4246,Bacardi Superior Rum,375mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,4.22,24,101.28,1
50_MOUNTMEND_2933,50,2933,Aultmore 12 Yr Scotch,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,38.88,6,233.28,1
69_MOUNTMEND_4204,69,4204,Bacardi Coco Rum,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,7.74,12,92.88,1
30_CULCHETH_8678,30,8678,Banfi Chianti Clsc RSV,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-01 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,9.32,48,447.36,2
50_MOUNTMEND_6240,50,6240,Riunite Raspberry,1.5L,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,5.36,6,32.16,2
34_PITMERDEN_18027,34,18027,Banfi Rosa Regale,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,9.08,1,9.08,2
15_WANBORNE_8232,15,8232,Riunite Lambrusco,1.5L,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-01 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,6.24,6,37.44,2
1_HARDERSFIELD_8978,1,8978,Riunite Lambrusco,3L,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-01 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,10.78,4,43.12,2
69_MOUNTMEND_18347,69,18347,Banfi Pnt Grigio San Angelo,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,8.58,35,300.3,2
69_MOUNTMEND_6378,69,6378,Walnut Crest Merlot Rapel,1.5L,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,6.62,6,39.72,2
7_STANMORE_10874,7,10874,Cantine Maschio Prosecco Brt,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,7.53,12,90.36,2
22_SHARNWICK_8674,22,8674,Riunite Moscato,1.5L,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-01 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,5.22,6,31.32,2
34_PITMERDEN_14279,34,14279,Movendo Moscato,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,5.22,5,26.1,2
69_MOUNTMEND_18152,69,18152,Banfi Centine Mntcln Tscna,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,5.26,48,252.48,2
76_DONCASTER_12140,76,12140,Natura Valle Svgn Bl Casabla,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,5.91,12,70.92,2
76_DONCASTER_10715,76,10715,C Y Toro Privada Rsv Casa Di,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,9.14,6,54.84,2
76_DONCASTER_6234,76,6234,C Y Toro Front Cab/Merlot,1.5L,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,4.54,6,27.24,2
76_DONCASTER_43798,76,43798,Trivento Select Mendz Malbec,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,6.45,12,77.4,2
15_WANBORNE_8630,15,8630,Fontana Candida Frascati,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-01 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,5.47,12,65.64,2
50_MOUNTMEND_25984,50,25984,C Y Toro Casa Diablo Svgn Bl,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,5.88,12,70.56,2
7_STANMORE_40666,7,40666,Bolla Chianti,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,6.89,12,82.68,2
68_SOLARIS_18801,68,18801,Bolla Prosecco Extra Dry,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-01 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,7.14,1,7.14,2
69_MOUNTMEND_15482,69,15482,C Y Toro Frontera Carmenere,1.5L,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,5.96,6,35.76,2
34_PITMERDEN_25985,34,25985,C Y Toro Casa Diablo Merlot,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,6.66,10,66.6,2
5_SUTTON_17967,5,17967,Banfi Principessa Gavia Gav,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,8.96,11,98.56,2
16_LUNDY_43801,16,43801,C Y Toro Frontera Cab Svgn,1.5L,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-03 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,5.84,6,35.04,2
50_MOUNTMEND_13433,50,13433,C Y Toro Carmenere de Casa,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,12.33,6,73.98,2
34_PITMERDEN_15037,34,15037,Banfi Poggio Alle Mura Montl,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,40.66,6,243.96,2
1_HARDERSFIELD_12586,1,12586,C Y Toro Frontera Malbec,1.5L,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-01 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,4.82,6,28.92,2
66_EANVERNESS_14710,66,14710,Ch Tanunda Gr Barossa Shiraz,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-01 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,10.38,12,124.56,2
1_HARDERSFIELD_23712,1,23712,Bell'Agio Chianti Flask,750mL,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-01 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,6.8,12,81.6,2
16_LUNDY_6859,16,6859,C Y Toro Frontera Chard,1.5L,516,BANFI PRODUCTS CORP        ,8170,2015-12-24 00:00:00,2016-01-03 00:00:00,2016-01-07 00:00:00,2016-02-12 00:00:00,4.69,6,28.14,2
50_MOUNTMEND_3079,50,3079,Devils Spring Vodka,750mL,2396,BLACK PRINCE DISTILLERY INC,8191,2015-12-25 00:00:00,2016-01-02 00:00:00,2016-01-08 00:00:00,2016-02-06 00:00:00,10.21,12,122.52,1
54_GUTHRAM_5075,54,5075,Tuaca Italian Liqueur,750mL,1128,BROWN-FORMAN CORP          ,8150,2015-12-23 00:00:00,2016-01-02 00:00:00,2016-01-09 00:00:00,2016-02-19 00:00:00,15.03,12,180.36,1
